Unicode,enz_pos,rxn_pos,Organism,Modified,Parameter,oldValue,newValue,error,ControlCoeff
D6AZ46,1893,1149,escherichia coli,1,SA*Mw,0.047,10.625,-42.3692,0.029965
D6AZ46,1893,1152,escherichia coli,1,SA*Mw,0.047,10.625,-40.5955,0.030887
A0A126YBE8,2187,1753,saccharomyces cerevisiae,1,SA*Mw,0.002052,0.002052,-40.5955,0.031683
D6AZ46,1893,1155,escherichia coli,1,SA*Mw,0.047,10.625,-38.8652,0.029229
A0A126YBE8,2187,1744,saccharomyces cerevisiae,1,SA*Mw,0.002052,0.002052,-38.8652,0.029326
A0A2A2UHN6,2086,1582,saccharomyces cerevisiae,1,SA*Mw,0.687161,17.252,-37.1852,0.028624
D6AZ46,1893,1172,escherichia coli,1,SA*Mw,0.047,10.625,-35.3459,0.029385
D6AZ46,1893,1174,escherichia coli,1,SA*Mw,0.047,10.625,-33.3956,0.030272
D6AZ46,1893,1176,escherichia coli,1,SA*Mw,0.047,10.625,-31.324,0.031214
D6AZ46,1893,1181,escherichia coli,1,SA*Mw,0.047,10.625,-29.1193,0.032216
D6AZ46,1893,1183,escherichia coli,1,SA*Mw,0.047,10.625,-26.7685,0.033284
A0A126YBE8,2187,1749,saccharomyces cerevisiae,1,SA*Mw,0.002052,0.002052,-26.7685,0.033338
D6B547,2295,2217,,0,SA*Mw,330,330,-26.7685,0.032739
D6AZ46,1893,1168,escherichia coli,1,SA*Mw,0.047,10.625,-24.4793,0.03137
A0A2A2UNS0,2508,2483,escherichia coli,1,SA*Mw,0.529999,77.8125,-22.0787,0.03198
A0A126YBE8,2187,1750,saccharomyces cerevisiae,1,SA*Mw,0.002052,0.002052,-22.0787,0.032591
D6B742,1989,1353,homo sapiens,1,SA*Mw,0.699992,89.3167,-19.726,0.030408
A0A126YBE8,2187,1752,saccharomyces cerevisiae,1,SA*Mw,0.002052,0.002052,-19.726,0.020875
D6AVZ5,2504,2478,serratia marcescens,1,SA*Mw,0.160001,240,-18.3455,0.017191
D6AWK6,2674,2823,escherichia coli,1,SA*Mw,0.334999,72.6,-16.9479,0.017179
D6B742,1989,1352,homo sapiens,1,SA*Mw,0.699992,89.3167,-15.5739,0.016659
D6AZ46,1893,1178,escherichia coli,1,SA*Mw,0.047,10.625,-14.1786,0.016585
A0A126YBE8,2187,1754,saccharomyces cerevisiae,1,SA*Mw,0.002052,0.002052,-14.1786,0.016428
A0A2A2UKT5,2660,4161,plasmodium falciparum,1,K_cat,0.610005,10.8,-12.8883,0.015933
D6B2M1,2171,1712,solanum lycopersicum,1,SA*Mw,0.750001,20.02,-11.5365,0.016115
D6B9U3,2497,4070,turbatrix aceti,1,K_cat,8.49993,800,-10.217,0.015063
D6AXN8,2246,1866,corynebacterium glutamicum,1,SA*Mw,1.65,224,-9.1199,0.012299
